impact,confidence,detector,finding
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,PepeArtData8Bit.slitherConstructorConstantVariables() (src/PepeArtData8Bit.sol#13-191) uses literals with too many digits:
Informational,Medium,too-many-digits,PSPFactory.roundPool(uint256) (src/PSPFactory.sol#635-646) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.slitherConstructorConstantVariables() (src/curves/Curve1Zones.sol#14-116) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve3Zones.config() (src/curves/Curve3Zones.sol#17-175) uses literals with too many digits:
Informational,Medium,too-many-digits,CurveHook.slitherConstructorConstantVariables() (src/CurveHook.sol#33-926) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.slitherConstructorConstantVariables() (src/curves/LinearZones.sol#16-130) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve3Zones.config() (src/curves/Curve3Zones.sol#17-175) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve2Zones.slitherConstructorConstantVariables() (src/curves/Curve2Zones.sol#14-74) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,SineMath._sinWad(uint256) (src/libraries/SineMath.sol#295-328) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,"ControllerDeployer.predictRegistry(bytes32,address,uint256) (src/ControllerDeployer.sol#168-182) uses literals with too many digits:"
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,"ControllerDeployer.deployController(PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#38-78) uses literals with too many digits:"
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,"ControllerDeployer.predictController(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#125-143) uses literals with too many digits:"
Informational,Medium,too-many-digits,PepeArtData8Bit.slitherConstructorConstantVariables() (src/PepeArtData8Bit.sol#13-191) uses literals with too many digits:
Informational,Medium,too-many-digits,HookInitCode.constructor() (src/HookInitCode.sol#50-58) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
